UniProtKB:P18510	IL1RN	Interleukin-1 receptor antagonist protein	NCBITaxon:9606
UniProtKB:P01588	EPO	Erythropoietin	NCBITaxon:9606
UniProtKB:P01588	EPO	Erythropoietin	NCBITaxon:9606
UniProtKB:P01584	IL1B	Interleukin-1 beta	NCBITaxon:9606
UniProtKB:P01584	IL1B	Interleukin-1 beta	NCBITaxon:9606
UniProtKB:P01584	IL1B	Interleukin-1 beta	NCBITaxon:9606
UniProtKB:P01583	IL1A	Interleukin-1 alpha	NCBITaxon:9606
UniProtKB:P01583	IL1A	Interleukin-1 alpha	NCBITaxon:9606
UniProtKB:P01579	IFNG	Interferon gamma	NCBITaxon:9606
UniProtKB:P01570	IFNA14	Interferon alpha-14	NCBITaxon:9606
UniProtKB:P01567	IFNA7	Interferon alpha-7	NCBITaxon:9606
UniProtKB:P01562	IFNA1	Interferon alpha-1/13	NCBITaxon:9606
UniProtKB:P01137	TGFB1	Transforming growth factor beta-1 proprotein	NCBITaxon:9606
UniProtKB:P01137	TGFB1	Transforming growth factor beta-1 proprotein	NCBITaxon:9606
UniProtKB:Q6UX27	VSTM1	V-set and transmembrane domain-containing protein 1	NCBITaxon:9606
UniProtKB:P18075	BMP7	Bone morphogenetic protein 7	NCBITaxon:9606
UniProtKB:Q15848	ADIPOQ	Adiponectin	NCBITaxon:9606
UniProtKB:P21583	KITLG	Kit ligand	NCBITaxon:9606
UniProtKB:P27539	GDF1	Embryonic growth/differentiation factor 1	NCBITaxon:9606
UniProtKB:P16619	CCL3L1	C-C motif chemokine 3-like 1	NCBITaxon:9606
UniProtKB:Q8WVN6	SECTM1	Secreted and transmembrane protein 1	NCBITaxon:9606
UniProtKB:O00626	CCL22	C-C motif chemokine 22	NCBITaxon:9606
UniProtKB:Q99731	CCL19	C-C motif chemokine 19	NCBITaxon:9606
UniProtKB:Q99731	CCL19	C-C motif chemokine 19	NCBITaxon:9606
UniProtKB:K9M1U5	IFNL4	Interferon lambda-4	NCBITaxon:9606
UniProtKB:Q6UX52	C17orf99	Protein IL-40	NCBITaxon:9606
UniProtKB:Q8IZ96	CMTM1	CKLF-like MARVEL transmembrane domain-containing protein 1	NCBITaxon:9606
UniProtKB:Q6UWK7	GPR15L	Protein GPR15L	NCBITaxon:9606
UniProtKB:P58499	FAM3B	Protein FAM3B	NCBITaxon:9606
UniProtKB:Q86YJ6	THNSL2	Threonine synthase-like 2	NCBITaxon:9606
UniProtKB:P01033	TIMP1	Metalloproteinase inhibitor 1	NCBITaxon:9606
UniProtKB:P01031	C5	Complement C5	NCBITaxon:9606
UniProtKB:P40933	IL15	Interleukin-15	NCBITaxon:9606
UniProtKB:Q99988	GDF15	Growth/differentiation factor 15	NCBITaxon:9606
UniProtKB:Q8IZV2	CMTM8	CKLF-like MARVEL transmembrane domain-containing protein 8	NCBITaxon:9606
UniProtKB:O00300	TNFRSF11B	Tumor necrosis factor receptor superfamily member 11B	NCBITaxon:9606
UniProtKB:P51671	CCL11	Eotaxin	NCBITaxon:9606
UniProtKB:P51671	CCL11	Eotaxin	NCBITaxon:9606
UniProtKB:P01563	IFNA2	Interferon alpha-2	NCBITaxon:9606
UniProtKB:P01566	IFNA10	Interferon alpha-10	NCBITaxon:9606
UniProtKB:P01568	IFNA21	Interferon alpha-21	NCBITaxon:9606
UniProtKB:P01569	IFNA5	Interferon alpha-5	NCBITaxon:9606
UniProtKB:P01571	IFNA17	Interferon alpha-17	NCBITaxon:9606
UniProtKB:P01574	IFNB1	Interferon beta	NCBITaxon:9606
UniProtKB:P01574	IFNB1	Interferon beta	NCBITaxon:9606
UniProtKB:P26441	CNTF	Ciliary neurotrophic factor	NCBITaxon:9606
UniProtKB:P47992	XCL1	Lymphotactin	NCBITaxon:9606
UniProtKB:P47992	XCL1	Lymphotactin	NCBITaxon:9606
UniProtKB:Q8WWZ1	IL1F10	Interleukin-1 family member 10	NCBITaxon:9606
UniProtKB:P43026	GDF5	Growth/differentiation factor 5	NCBITaxon:9606
UniProtKB:O00755	WNT7A	Protein Wnt-7a	NCBITaxon:9606
UniProtKB:P55774	CCL18	C-C motif chemokine 18	NCBITaxon:9606
UniProtKB:P55773	CCL23	C-C motif chemokine 23	NCBITaxon:9606
UniProtKB:P55773	CCL23	C-C motif chemokine 23	NCBITaxon:9606
UniProtKB:P04141	CSF2	Granulocyte-macrophage colony-stimulating factor	NCBITaxon:9606
UniProtKB:P04141	CSF2	Granulocyte-macrophage colony-stimulating factor	NCBITaxon:9606
UniProtKB:Q02297	NRG1	Pro-neuregulin-1, membrane-bound isoform	NCBITaxon:9606
UniProtKB:P13521	SCG2	Secretogranin-2	NCBITaxon:9606
UniProtKB:P13521	SCG2	Secretogranin-2	NCBITaxon:9606
UniProtKB:P50591	TNFSF10	Tumor necrosis factor ligand superfamily member 10	NCBITaxon:9606
UniProtKB:Q12904	AIMP1	Aminoacyl tRNA synthase complex-interacting multifunctional protein 1	NCBITaxon:9606
UniProtKB:A0A0B4J2E2	CCL15-CCL14	C-C motif chemokine	NCBITaxon:9606
UniProtKB:Q14005	IL16	Pro-interleukin-16	NCBITaxon:9606
UniProtKB:O95393	BMP10	Bone morphogenetic protein 10	NCBITaxon:9606
UniProtKB:Q9NRJ3	CCL28	C-C motif chemokine 28	NCBITaxon:9606
UniProtKB:Q9NRJ3	CCL28	C-C motif chemokine 28	NCBITaxon:9606
UniProtKB:Q9NRJ3	CCL28	C-C motif chemokine 28	NCBITaxon:9606
UniProtKB:O60383	GDF9	Growth/differentiation factor 9	NCBITaxon:9606
UniProtKB:P29460	IL12B	Interleukin-12 subunit beta	NCBITaxon:9606
UniProtKB:P29459	IL12A	Interleukin-12 subunit alpha	NCBITaxon:9606
UniProtKB:P29459	IL12A	Interleukin-12 subunit alpha	NCBITaxon:9606
UniProtKB:Q6ZMJ4	IL34	Interleukin-34	NCBITaxon:9606
UniProtKB:P32971	TNFSF8	Tumor necrosis factor ligand superfamily member 8	NCBITaxon:9606
UniProtKB:P32970	CD70	CD70 antigen	NCBITaxon:9606
UniProtKB:P32970	CD70	CD70 antigen	NCBITaxon:9606
UniProtKB:Q9NR23	GDF3	Growth/differentiation factor 3	NCBITaxon:9606
UniProtKB:Q9BXJ3	C1QTNF4	Complement C1q tumor necrosis factor-related protein 4	NCBITaxon:9606
UniProtKB:O60565	GREM1	Gremlin-1	NCBITaxon:9606
UniProtKB:P09544	WNT2	Protein Wnt-2	NCBITaxon:9606
UniProtKB:Q96S42	NODAL	Nodal homolog	NCBITaxon:9606
UniProtKB:P09529	INHBB	Inhibin beta B chain	NCBITaxon:9606
UniProtKB:P09529	INHBB	Inhibin beta B chain	NCBITaxon:9606
UniProtKB:Q9GZX6	IL22	Interleukin-22	NCBITaxon:9606
UniProtKB:P14174	MIF	Macrophage migration inhibitory factor	NCBITaxon:9606
UniProtKB:P02778	CXCL10	C-X-C motif chemokine 10	NCBITaxon:9606
UniProtKB:P02778	CXCL10	C-X-C motif chemokine 10	NCBITaxon:9606
UniProtKB:P02775	PPBP	Platelet basic protein	NCBITaxon:9606
UniProtKB:P29965	CD40LG	CD40 ligand	NCBITaxon:9606
UniProtKB:O75888	TNFSF13	Tumor necrosis factor ligand superfamily member 13	NCBITaxon:9606
UniProtKB:P12644	BMP4	Bone morphogenetic protein 4	NCBITaxon:9606
UniProtKB:P12644	BMP4	Bone morphogenetic protein 4	NCBITaxon:9606
UniProtKB:P12643	BMP2	Bone morphogenetic protein 2	NCBITaxon:9606
UniProtKB:P24001	IL32	Interleukin-32	NCBITaxon:9606
UniProtKB:Q96MX0	CMTM3	CKLF-like MARVEL transmembrane domain-containing protein 3	NCBITaxon:9606
UniProtKB:P09038	FGF2	Fibroblast growth factor 2	NCBITaxon:9606
UniProtKB:Q96QR1	SCGB3A1	Secretoglobin family 3A member 1	NCBITaxon:9606
UniProtKB:Q13007	IL24	Interleukin-24	NCBITaxon:9606
UniProtKB:Q9UNG2	TNFSF18	Tumor necrosis factor ligand superfamily member 18	NCBITaxon:9606
UniProtKB:Q06643	LTB	Lymphotoxin-beta	NCBITaxon:9606
UniProtKB:P32881	IFNA8	Interferon alpha-8	NCBITaxon:9606
UniProtKB:Q9P0M4	IL17C	Interleukin-17C	NCBITaxon:9606
UniProtKB:P09341	CXCL1	Growth-regulated alpha protein	NCBITaxon:9606
UniProtKB:Q96PD4	IL17F	Interleukin-17F	NCBITaxon:9606
UniProtKB:O00585	CCL21	C-C motif chemokine 21	NCBITaxon:9606
UniProtKB:O00585	CCL21	C-C motif chemokine 21	NCBITaxon:9606
UniProtKB:O00585	CCL21	C-C motif chemokine 21	NCBITaxon:9606
UniProtKB:O00585	CCL21	C-C motif chemokine 21	NCBITaxon:9606
UniProtKB:P55000	SLURP1	Secreted Ly-6/uPAR-related protein 1	NCBITaxon:9606
UniProtKB:Q8TAD2	IL17D	Interleukin-17D	NCBITaxon:9606
UniProtKB:Q8IU54	IFNL1	Interferon lambda-1	NCBITaxon:9606
UniProtKB:P78423	CX3CL1	Fractalkine	NCBITaxon:9606
UniProtKB:P78423	CX3CL1	Fractalkine	NCBITaxon:9606
UniProtKB:P78423	CX3CL1	Fractalkine	NCBITaxon:9606
UniProtKB:P78423	CX3CL1	Fractalkine	NCBITaxon:9606
UniProtKB:P78423	CX3CL1	Fractalkine	NCBITaxon:9606
UniProtKB:Q7Z5A7	TAFA5	Chemokine-like protein TAFA-5	NCBITaxon:9606
UniProtKB:Q9NZH8	IL36G	Interleukin-36 gamma	NCBITaxon:9606
UniProtKB:Q9NZH7	IL36B	Interleukin-36 beta	NCBITaxon:9606
UniProtKB:Q9NZH6	IL37	Interleukin-37	NCBITaxon:9606
UniProtKB:Q9NYY1	IL20	Interleukin-20	NCBITaxon:9606
UniProtKB:O15467	CCL16	C-C motif chemokine 16	NCBITaxon:9606
UniProtKB:O15444	CCL25	C-C motif chemokine 25	NCBITaxon:9606
UniProtKB:O15444	CCL25	C-C motif chemokine 25	NCBITaxon:9606
UniProtKB:P35225	IL13	Interleukin-13	NCBITaxon:9606
UniProtKB:Q86WN2	IFNE	Interferon epsilon	NCBITaxon:9606
UniProtKB:P41273	TNFSF9	Tumor necrosis factor ligand superfamily member 9	NCBITaxon:9606
UniProtKB:O00175	CCL24	C-C motif chemokine 24	NCBITaxon:9606
UniProtKB:O00175	CCL24	C-C motif chemokine 24	NCBITaxon:9606
UniProtKB:P41221	WNT5A	Protein Wnt-5a	NCBITaxon:9606
UniProtKB:P04628	WNT1	Proto-oncogene Wnt-1	NCBITaxon:9606
UniProtKB:Q9HBE4	IL21	Interleukin-21	NCBITaxon:9606
UniProtKB:Q8TAZ6	CMTM2	CKLF-like MARVEL transmembrane domain-containing protein 2	NCBITaxon:9606
UniProtKB:P34820	BMP8B	Bone morphogenetic protein 8B	NCBITaxon:9606
UniProtKB:P09603	CSF1	Macrophage colony-stimulating factor 1	NCBITaxon:9606
UniProtKB:P09603	CSF1	Macrophage colony-stimulating factor 1	NCBITaxon:9606
UniProtKB:P09603	CSF1	Macrophage colony-stimulating factor 1	NCBITaxon:9606
UniProtKB:P19876	CXCL3	C-X-C motif chemokine 3	NCBITaxon:9606
UniProtKB:P19876	CXCL3	C-X-C motif chemokine 3	NCBITaxon:9606
UniProtKB:P19875	CXCL2	C-X-C motif chemokine 2	NCBITaxon:9606
